fire_size;fire_size_class;fire_cause;state;discovery_year;discovery_month;distance_wstation_m;vegetation_type;Temp_pre_30;Temp_pre_15;Temp_pre_7;Temp_contained;Wind_pre_30;Wind_pre_15;Wind_pre_7;Wind_contained;Hum_pre_30;Hum_pre_15;Hum_pre_7;Hum_contained;Prec_pre_30;Prec_pre_15;Prec_pre_7;Prec_contained;remoteness
50;C;Miscellaneous;SD;2013;Aug;3936270738;15;1985383648;1.70E+16;1740549451;802540366;4978715365;5.82E+15;6241758242;6.14E+15;6377849741;6460148515;6306043956;7389617486;29.8;28.2;27.6;118.8;0.296010486
0.62;B;Miscellaneous;WA;2012;Aug;1061687305;15;1430689189;1386409574;1254010989;1059580838;1.59E+16;0.839247312;0.761538462;2.65E+16;5273647712;5657142857;6594011976;4949101796;0.8;0.5;0.5;0;0.469574214
70;C;Miscellaneous;SD;2011;Aug;8897659797;15;1506855025;1154402224;1207142857;1147307335;3.68E+16;3829935125;2408531746;4820380687;598618267;6144075829;6378541667;6104813591;10.2;3.5;0;7.5;0.266052707
2;B;Miscellaneous;CA;2011;Aug;4.15E+16;0;2386997389;2269522613;2202058824;1709457093;234464752;2413567839;2714215686;290910683;4889081225;5201302083;5451578947;6957933194;1.8;1.8;0.3;51.9;0.509289732
2;B;Missing/Undefined;MS;2010;Aug;360872245;12;2530455508;2486350975;2351587302;1963416899;185552017;1695716946;1.94E+16;2550514019;6505997877;6421880819;6662674651;5497336449;14.3;6.9;6.9;4.7;0.205950084
1;B;Lightning;CA;2010;Aug;5838132706;16;1899199522;1936336634;2224261364;15553177;1756869773;1705445545;1917613636;1.47E+16;6107151515;5749874055;4913636364;8083560545;0.3;0.3;0;84;0.464805833
4;B;Miscellaneous;CA;2009;Aug;3.49E+16;0;2413395973;2410132979;2530714286;1655403129;2357315436;18875;1.37E+16;3204452467;4735436242;5016489362;4079761905;6170338983;6.6;6.6;0;49.2;0.511457455
47;C;Miscellaneous;WA;2009;Aug;6.38E+16;15;1906398892;1818402204;1774642857;1175555556;280734072;269476584;3044642857;2998611111;4304432133;3876033058;3.38E+16;3819444444;7.6;1;0;0;0.478076644
65;C;Missing/Undefined;TN;2008;Aug;4625255652;15;2259794585;2060437262;1948730159;1590075829;1998026316;2.28E+16;19072;2127428571;6932637571;6.74E+15;65916;6656924546;160.6;22.4;4;84.4;0.154067588
2.3;B;Debris Burning;GA;2007;Aug;2.31E+16;16;2324780876;2199961759;2329915254;1850613953;1.34E+16;1383204633;1179059829;1.62E+16;7078318136;7267716535;7254935622;7255671078;221;94;1.6;203.2;0.164410019
1;B;Debris Burning;CA;2007;Aug;2712459486;0;21345;1798179612;1777029703;1559518201;3188333333;3241747573;3159405941;3.22E+16;5526769627;6102444988;61445;6745268817;6.1;6.1;1;43.1;0.507610979
1586;F;Arson;UT;2006;Aug;7358059628;0;1550176545;11175;1107810651;1625972222;305258512;3388636364;3023076923;26625;4023106061;4658987342;4108284024;2222222222;10.3;5.9;0.3;0;0.409982155
2000;F;Lightning;TX;2003;Aug;9478228473;16;2.31E+16;2232510288;2385833333;1887396694;3857746479;407654321;3.37E+16;340392562;622587269;6072727273;5882352941;5881263158;3.3;3.3;3.3;8.6;0.302682047
1;B;Miscellaneous;MS;2003;Aug;1105515042;12;2386020992;2.28E+16;2333333333;1822911695;2.10E+16;156890595;1852811245;1958882521;776802005;7391911021;7404803493;7485196225;313.3;254.5;254.5;30.8;0.220505488
1500;F;Lightning;TX;2003;Aug;1220018479;16;1898076923;1866454545;1875980392;163036999;5.71E+15;6060364465;5114285714;5.09E+16;6254144241;5562642369;5851724138;5989274448;113.6;14.8;7.6;51.4;0.307059733
300;E;Missing/Undefined;HI;2003;Aug;1279127827;12;2531034483;2556291391;2544776119;2490439276;359153605;3386092715;291641791;3302067183;7405803571;7456565657;7.86E+15;7674736842;2.9;1.8;1.3;24.1;0.923182503
2;B;Arson;MS;2000;Aug;6098243468;12;2393631011;2203110687;2168196078;1741606161;2722266402;2680384615;3273622047;1.89E+16;7303174603;7163908046;7576521739;6932538737;60;44;21.4;70.6;0.200857748
10;C;Smoking;MS;2000;Aug;3.42E+16;16;252640608;2249535865;2125243902;1951206497;3839297475;4010851064;3.83E+16;2.80E+16;606961326;5962068966;7130962343;6134756821;54.8;33;33;23;0.206076714
1;B;Arson;MS;2000;Aug;6084265831;12;2446910112;2283426966;2223809524;1827538248;1927042254;2068450704;2228742515;1526008345;7180813953;673699422;6964417178;6323562412;81.5;2.3;2.3;27.4;0.207395556
5;B;Debris Burning;TX;2000;Aug;5931461268;12;2551879699;2249127182;20955;1912272175;2859254328;3.30E+16;387628866;2575031526;6426657459;66.5;7362087912;6910576923;35.8;15.2;15.2;35.9;0.247513386
1;B;Miscellaneous;AR;1999;Aug;4448565266;0;2167904903;1870278638;1815384615;1513414634;1992113095;2121981424;2341538462;2333566434;6104613095;5681733746;5806923077;6398025135;16;0.8;0;86.4;0.218526178
2;B;Miscellaneous;LA;1998;Aug;6.03E+15;12;2606632653;2661917808;2676875;1966752246;2418367347;2071232877;2.23;2310783055;7289868668;7693675889;7413114754;7475364668;116.1;37.4;0;20.4;0.228662759
1;B;Campfire;OR;1997;Aug;7291322673;9;1812587601;165594086;1913254438;1.89E+16;3550404313;3817741935;4195266272;3.02;5762668464;5995698925;509408284;49.44;12.2;7.1;0;0;0.484933883
10486;G;Arson;NV;1996;Aug;3567915747;15;1540876712;1175082418;1258035714;1570416667;3155890411;305467033;3145238095;169375;3628082192;4692307692;35125;3414583333;0.3;0.3;0;0;0.074242854
10;C;Arson;TX;1992;Aug;7301704748;12;2437243767;2369226519;2188809524;1927027778;1.36E+16;1736388889;2302380952;1633611111;768866571;7863764045;7903592814;6781012658;144;36;0;68.5;0.243952208
10;C;Debris Burning;TX;2015;Aug;1645998918;12;2713157895;2625653207;2517830688;2062961066;4271553885;4687173397;3.30E+16;407079918;5598110831;5636211031;5624324324;5649036145;19.5;11.9;8.9;127.5;0.301371961
1;B;Debris Burning;TX;2014;Aug;8026333514;16;2185893536;1948036723;1748425414;1646272846;1185529322;0.939660057;0.649030471;1131809275;8391132075;8365764023;8044339623;8356503198;20.5;3.8;0;13.1;0.244919887
10;C;Debris Burning;TX;2010;Aug;2756345495;12;2642941822;2572244898;2413526971;2081514393;3384961581;2.84E+16;3373443983;3329824561;7435524798;7428037383;7878947368;6001397713;58.8;2.6;2.6;55.9;0.267580242
0.8;B;Miscellaneous;CA;2009;Aug;3460075265;0;2465708502;2394786096;25.74;1692622951;2521544715;2074731183;1.48E+16;2739717979;4338127544;4808355795;3897633136;6283204134;4.3;4.3;0;43.3;0.497977701
2.17;B;Equipment Use;GA;2009;Aug;2.69E+16;12;2468777698;2503370647;2520434783;214669344;2095854182;2146268657;2492119565;2.53E+16;8386960065;8547875354;8516149068;8273813421;36.9;23.5;14.5;122.4;0.149360083
10;C;Campfire;WY;2008;Aug;4978296545;15;1180970246;1215212766;1.07E+16;9159052925;2.92E+16;2894946809;3529213483;3044011142;4960846561;4435040431;4845086705;5834431138;22.9;6.1;6.1;11.5;0.401464257
1;B;Missing/Undefined;TN;2008;Aug;8267322186;15;2212530242;2038495575;1846567797;1643935361;1907258065;1863274336;0.859745763;1.71E+16;7512903226;7106858407;7197881356;7342612011;22.8;5.9;0.3;75.3;0.18466565
1;B;Debris Burning;TX;2008;Aug;3381480985;12;2392753304;2212105263;2231714286;2051931684;1694162996;2103036437;0.490952381;1.48E+16;7642035398;7916496945;7594230769;7.05E+15;114.9;113.3;8.4;18.5;0.264233491
6;B;Equipment Use;MO;2007;Aug;7141808976;0;2001589806;1940373134;2019547739;1490910125;2985103785;3356857855;307839196;3934589041;7056288156;6712718204;7053266332;7334246575;23.1;15.5;13.2;122.3;0.224103474
1;B;Debris Burning;MS;2006;Aug;6569458834;12;2424142725;2300834106;2248310139;1916318962;1953963839;2131539889;2586481113;2102364395;6997832817;7036247335;7069777778;6935372069;224.5;37.3;5.3;76.3;0.196302218
10;C;Debris Burning;MS;2006;Aug;8162412864;16;2.34E+16;21.88;2140243902;1681302521;21689;2221714286;2581707317;1978676471;7123243243;7333755274;7297596154;7432696897;169.9;161.8;100.9;176.9;0.193518115
0.79;B;Equipment Use;GA;2006;Aug;2433095433;12;2510068027;2442960373;2367472527;2071664699;212675737;2.00E+16;2.06E+16;2298583235;7631890661;7491529412;7175555556;6704898447;15.7;15.2;2;32.3;0.162943201
24970;G;Miscellaneous;CA;2005;Aug;3304441669;16;1851222494;1783687943;1791099476;2005775076;198801956;193144208;1837696335;1.93E+16;7365403423;750070922;7483246073;5827217125;5.1;5.1;4.3;0;0.095840805
681;E;Lightning;UT;2005;Aug;1097630813;0;1233191763;1037958115;1174623656;851682243;3948262548;377539267;3984408602;3464485981;4526383526;432513089;4966129032;5734579439;11.3;1;1;3;0.427759647
3;B;Missing/Undefined;HI;2002;Aug;2.31E+16;12;2739793282;2756621005;2781052632;259821727;3.31E+16;2994520548;2481052632;3203361345;7105637982;7173595506;707260274;7429681979;12.2;9.9;0.3;19.4;0.921292642
10;C;Arson;AL;2000;Aug;2041850667;16;2402961918;2262711864;22.4;1776503497;1.53E+16;1699152542;1.93E+16;1217762238;721201248;6947572816;7740425532;6.38E+15;17.3;9.5;9.2;34;0.180021739
1;B;Arson;MS;2000;Aug;7536421271;12;2510084746;2289697543;2241764706;1809866071;286254902;2710420842;3053174603;1.97E+16;7159583333;734627193;8098642534;6831438936;136.2;42.6;42.6;73.9;0.203870627
4;B;Arson;AL;2000;Aug;4380757748;16;2482237762;2232022472;2220238095;1779856115;2628892006;2517231638;2960479042;1857142857;6631214689;6576790831;7083832335;6018470418;233.9;21.3;0;11.2;0.191209954
3500;F;Children;SD;2000;Aug;4.31E+16;15;1531931119;1282885086;8636649215;201125;4469950739;3725980392;3.31E+16;4075;5831885856;5659558824;6085340314;368125;19.4;2.4;0.8;0;0.200329049
1;B;Debris Burning;AR;1999;Aug;3708264142;15;2129918033;1887912088;1903508772;1591543624;2991803279;316043956;3.54E+16;3621438263;6349583333;583971831;5501169591;5704657933;9.9;1.8;0.5;15;0.234495981
3000;F;Miscellaneous;WA;1996;Aug;4477906954;15;1643521127;141452514;1259281437;107657784;3384225352;3.24E+16;2683832335;2760448808;4863943662;5060893855;4843113772;5474719101;17.8;17.8;0;15;0.498917718
2;B;Miscellaneous;TX;2015;Aug;135342511;12;2738553459;2636258993;2546494845;2083493361;4396226415;4829736211;3.49E+16;4036261491;5517232704;5596402878;5789690722;5655729795;13.9;8.3;3.3;133.1;0.298580772
2;B;Debris Burning;TX;2014;Aug;4013750675;12;2501990741;2320925926;2280952381;2028287037;1.93E+16;162557924;1559642147;2104031511;7570216777;7459700094;6684294235;7493302326;48.3;37.6;0;139.4;0.251916443
22;C;Campfire;PA;2014;Aug;3318153972;15;1788915989;1461431127;1588576923;1701980831;2437306642;2.49E+16;2570817121;1.98E+16;7139763421;7132246377;6987937743;7346774194;62.6;21.8;10.2;6.6;0.078648537
3;B;Arson;TX;2014;Aug;2627238181;12;2.52E+16;2287037383;2341720648;2171075568;2390134946;182588785;1646558704;2583959203;6493438809;6771495327;5800607287;5990078813;46.4;11.3;0;55.5;0.28444104
3;B;Debris Burning;TX;2013;Aug;2.83E+16;12;2673923113;2531666667;2289285714;1999328537;1832607689;1.95E+16;200218254;2079078695;6415434682;6411090401;6756136821;7668645731;87.1;79.5;77.2;60;0.251158713
60;C;Arson;CA;2012;Aug;3894871635;15;10838599;1067764531;1113233083;1052413793;1.43E+16;1.47E+16;1.62E+16;0.817241379;8889281211;8914936709;8916589862;9119047619;5.2;2.1;0.6;0;0.531434366
2;B;Lightning;TX;2011;Aug;1359224738;12;2739282971;2682184466;263109375;28725;2437387964;2.32E+16;1.87E+16;3132142857;5872186287;6601719902;6563636364;6507142857;31;31;0;0;0.259928912
1;B;Debris Burning;TX;2010;Aug;1390635178;12;2674853738;2670070093;253926087;2020036946;3.04E+16;2507242991;3123913043;2771305419;7285619469;700410628;7460648148;6193797468;55.1;1.8;1.3;56.1;0.25664563
5;B;Railroad;OR;2010;Aug;7.91E+15;4;1162160279;1153877551;8.94E+15;15522;190058072;1.65E+16;1.11E+16;0.738;6042105263;6146634615;6564251208;48.32;3.4;1.3;0;0;0.511006724
78.5;C;Arson;GA;2008;Aug;4819153887;12;2469747664;2351503759;2138614719;1948676868;2546448598;2790413534;3.45E+16;2423492349;8020737787;7857364341;7554978355;8129429735;29.2;24.6;2.5;122.8;0.12943871
5;B;Debris Burning;TX;2008;Aug;2770142638;12;2415554348;2243319838;224347032;2067974087;1738043478;2138461538;0.448858447;138598351;7658515284;7933808554;7764516129;7121301775;114.9;113.3;8.4;18.5;0.249028112
11200;G;Miscellaneous;CA;2008;Aug;7346632937;0;1588201754;1550066667;1635296804;1495306554;1.81E+16;1966;1739726027;1782875264;7371222222;7523333333;7508219178;6809621622;0.3;0.3;0.3;2.5;0.1344732
